domain,reliability
7newspolitical.site,-1
.ac.uk,1
americasfreedomfighters.com,-1
americaslastlineofdefense.org,-1
americatalks.com,-1
bannedinformation.com,-1
blingnews.com,-1
cbinfo24.com,-1
channel23news.com,-1
conservativeangle.com,-1
conservativepost.com,-1
consnation.com,-1
daily-vine.com,-1
en-volve.com,-1
fbnewscycle.com,-1
fellowshipoftheminds.com,-1
gellerreport.com,-1
infowars.com,-1
kagfeed.com,-1
londonwebnews.com,-1
mminfo24.com,-1
nyeveningnews.com,-1
neonnettle.com,-1
newspunch.com,-1
patriotswalk.us,-1
policetask.com,-1
politicsfocus.com,-1
puppetstringnews.com,-1
rwnofficial.com,-1
realnewsrightnow.com,-1
rightwingtribune.com,-1
specialnewsusa.com,-1
stgeorgegazette.com,-1
stuppid.com,-1
teddystick.com,-1
the-postillon.com,-1
theamericanews.co,-1
theconservativetreehouse.com,-1
thelibertyraise.com,-1
therightists.com,-1
topalertnews.com,-1
trainnews.info,-1
truthfeednews.com,-1
universaleinfo.com,-1
universaleinfo.com,-1
ussanews.com,-1
viralcords.com,-1
viralitythings.us,-1
viralnewspbs.site,-1
webviners.com,-1
worldnews-24.press,-1
yournewswire.com,-1
bbc.com,1
bbc.co.uk,1
empirenews.net,-1
factcheck.org,1
ft.com,1
fullfact.org,1
.gov,1
.gov.uk,1
itv.com,1
nhs.uk,1
nofakenewsonline.us,-1
politicops.com,-1
politicot.com,-1
theguardian.com,1
thepedogate.com,-1
thetelegraph.co.uk,1
trumpbetrayed.us,-1
un.org,1
who.int,1
worstpot.us,-1
